"","lon","lat","date","windspeed"
"1",-124.375,40.5,0,0.478185062643463
"2",-124.375,40.5,44640,3.96947993618896
"3",-124.375,40.5,86400,3.40321767347076
"4",-124.375,40.5,131040,1.64121637063223
"5",-124.375,40.5,174240,5.29860726154346
"6",-124.375,40.5,218880,4.04725049877271
"7",-124.375,40.5,262080,4.29865469380703
"8",-124.375,40.5,306720,6.92733472472729
"9",-124.375,40.5,351360,2.60058172128952
"10",-124.375,40.5,394560,1.08573993801062
"11",-124.375,40.5,439200,0.295191147026518
"12",-124.375,40.5,482400,2.06397094130272
"13",-124.375,40.5,527040,3.42046089050119
"14",-124.375,40.5,571680,0.931417600609593
"15",-124.375,40.5,612000,0.995428209536196
"16",-124.375,40.5,656640,5.03775828586152
"17",-124.375,40.5,699840,5.16815764871638
"18",-124.375,40.5,744480,5.87910820115997
"19",-124.375,40.5,787680,6.57643246990256
"20",-124.375,40.5,832320,4.48973648220204
"21",-124.375,40.5,876960,2.64762982110508
"22",-124.375,40.5,920160,0.442377163647998
"23",-124.375,40.5,964800,2.73254579457611
"24",-124.375,40.5,1008000,2.84127478928891
"25",-124.375,40.5,1052640,1.69396999848731
"26",-124.375,40.5,1097280,0.900797401291977
"27",-124.375,40.5,1137600,1.00634940618318
"28",-124.375,40.5,1182240,1.36937638821592
"29",-124.375,40.5,1225440,6.97076450447906
"30",-124.375,40.5,1270080,2.98477319849381
"31",-124.375,40.5,1313280,5.21302653852775
"32",-124.375,40.5,1357920,4.22420552582058
"33",-124.375,40.5,1402560,4.11564262085624
"34",-124.375,40.5,1445760,0.351688850967892
"35",-124.375,40.5,1490400,1.26780826268942
"36",-124.375,40.5,1533600,2.76862603515295
"37",-124.375,40.5,1578240,4.02241208915827
"38",-124.375,40.5,1622880,6.34569092258281
"39",-124.375,40.5,1663200,4.81812350935165
"40",-124.375,40.5,1707840,1.55512042780433
"41",-124.375,40.5,1751040,3.78122266891992
"42",-124.375,40.5,1795680,5.80866557148645
"43",-124.375,40.5,1838880,5.58260654023838
"44",-124.375,40.5,1883520,4.04337268641938
"45",-124.375,40.5,1928160,5.06337300609108
"46",-124.375,40.5,1971360,2.01297715137714
"47",-124.375,40.5,2016000,2.77442500499294
"48",-124.375,40.5,2059200,1.30887070225689
"49",-124.375,40.5,2103840,1.60653218549061
"50",-124.375,40.5,2148480,1.97587597964095
"51",-124.375,40.5,2190240,0.567479384193629
"52",-124.375,40.5,2234880,3.44588837877938
"53",-124.375,40.5,2278080,3.3689175431147
"54",-124.375,40.5,2322720,6.31118102501414
"55",-124.375,40.5,2365920,6.32446151294729
"56",-124.375,40.5,2410560,5.48988444689743
"57",-124.375,40.5,2455200,5.09752112371987
"58",-124.375,40.5,2498400,1.24811297118784
"59",-124.375,40.5,2543040,2.99408852171055
"60",-124.375,40.5,2586240,1.19282886955588
"61",-124.375,40.5,2630880,1.17045550509867
"62",-124.375,40.5,2675520,3.79700364475972
"63",-124.375,40.5,2715840,2.00289409134099
"64",-124.375,40.5,2760480,3.73417422881304
"65",-124.375,40.5,2803680,3.5012090586204
"66",-124.375,40.5,2848320,4.51503721549
"67",-124.375,40.5,2891520,4.0881961312949
"68",-124.375,40.5,2936160,4.46738795798636
"69",-124.375,40.5,2980800,2.70177820641248
"70",-124.375,40.5,3024000,2.54917971136061
"71",-124.375,40.5,3068640,2.46666567913221
"72",-124.375,40.5,3111840,1.35000589143978
"73",-124.375,40.5,3156480,5.27909839813059
"74",-124.375,40.5,3201120,3.45086316595457
"75",-124.375,40.5,3241440,0.227321111572494
"76",-124.375,40.5,3286080,4.30365882818863
"77",-124.375,40.5,3329280,3.04248866694948
"78",-124.375,40.5,3373920,2.62441116697353
"79",-124.375,40.5,3417120,6.50844594796911
"80",-124.375,40.5,3461760,4.09437402490885
"81",-124.375,40.5,3506400,2.16963458887385
"82",-124.375,40.5,3549600,0.718258261074749
"83",-124.375,40.5,3594240,1.78753325051423
"84",-124.375,40.5,3637440,2.67608863117535
"85",-124.375,40.5,3682080,2.23004445633212
"86",-124.375,40.5,3726720,0.906229122863875
"87",-124.375,40.5,3767040,1.57751403028181
"88",-124.375,40.5,3811680,2.79610873338447
"89",-124.375,40.5,3854880,4.86303976684587
